key,중위건축,n,노후91,노후25,반지하%,온열률10만
충청남도 보령시,2014.0,135,20.0,23.703703703703706,0.036528012419524226,26.0
충청남도 서산시,2013.0,248,8.46774193548387,19.35483870967742,0.016572754391779913,52.5
충청남도 서천군,2012.0,61,11.475409836065573,39.34426229508197,0.03059306848476902,38.4
충청남도 아산시,2013.0,316,15.18987341772152,36.075949367088604,0.11369985836246214,34.8
충청남도 예산군,2014.0,82,6.097560975609756,12.195121951219512,0.013766519823788547,146.1
충청남도 천안시,2012.0,1099,11.191992720655142,27.5705186533212,0.24781845179575152,19.9
충청남도 태안군,2016.0,72,6.944444444444445,16.666666666666664,0.017196313110469114,37.8
충청북도 제천시,1999.0,72,22.22222222222222,51.388888888888886,0.03178054695993978,56.8
충청북도 진천군,2013.0,148,4.72972972972973,21.62162162162162,0.033482717766445166,74.6
충청북도 청주시,2012.0,352,25.0,36.93181818181818,0.18265390622543212,34.4
충청북도 충주시,2013.0,264,11.742424242424242,22.727272727272727,0.03143697393773451,21.1
