연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름,인구,온열,여름온열,여름온열률10만
2023,경상북도 성주군,795.5,192.8,52.0,13.4,100.0,24.5,776.4,188.0,42086.0,1,0,0.0
2023,경상북도 안동시,295.7,74.3,239.8,63.2,402.0,99.5,194.3,49.8,152935.0,27,23,15.03906888547422
2023,경상북도 영덕군,50.4,12.7,46.8,11.9,130.6,32.6,30.4,7.6,34055.0,5,5,14.682131845543973
2023,경상북도 영양군,12.3,3.1,21.5,5.2,32.0,7.0,3.7,0.8,15661.0,0,0,0.0
2023,경상북도 영주시,1118.0,278.6,149.3,39.0,217.7,53.1,1084.2,270.5,100199.0,7,7,6.9860976656453655
2023,경상북도 영천시,961.8,231.0,140.5,36.8,212.4,53.8,920.7,220.7,100212.0,1,1,0.997884484892029
2023,경상북도 예천군,51.0,13.2,89.6,24.2,109.6,27.2,35.1,9.3,55325.0,4,4,7.230004518752825
2023,경상북도 울릉군,8.1,2.1,10.1,2.6,44.5,11.2,2.6,0.7,9077.0,5,5,55.08427894678859
2023,경상북도 울진군,374.7,58.9,80.9,20.4,156.3,38.6,25.1,6.2,46669.0,11,6,12.85650003214125
2023,경상북도 의성군,79.8,18.3,66.3,16.5,88.6,20.9,64.8,14.6,50086.0,14,13,25.955356786327517
2023,경상북도 청도군,85.0,20.0,54.9,13.6,104.1,25.3,71.1,16.5,41316.0,4,4,9.68147933004163
2023,경상북도 청송군,19.8,4.7,34.7,8.6,65.8,15.1,8.4,1.9,24019.0,2,2,8.32674132978059
2023,경상북도 칠곡군,1280.0,309.1,169.2,46.6,336.6,88.1,1180.2,284.0,110581.0,13,13,11.756088297266258
2023,경상북도 포항시,7768.9,1811.7,771.2,216.0,1137.1,304.8,7605.2,1769.5,493033.0,46,39,7.910221019688336
2023,광주광역시 광산구,1945.0,493.5,651.1,178.1,864.1,233.6,1837.1,466.5,396741.0,26,25,6.301340169027148
2023,광주광역시 남구,48.9,12.2,337.1,92.8,323.4,88.3,11.3,2.6,209646.0,6,6,2.8619673163332475
2023,광주광역시 동구,34.7,9.0,189.3,53.3,375.8,102.2,7.3,1.8,107176.0,3,3,2.7991341345077254
2023,광주광역시 북구,744.4,204.2,673.7,189.8,767.3,206.3,675.4,185.3,421683.0,19,19,4.505754322559837
2023,광주광역시 서구,311.2,83.0,469.6,127.5,803.2,215.2,203.0,55.7,283991.0,10,10,3.5212383491026125
2023,대구광역시 군위군,68.7,22.5,14.0,4.9,32.5,11.1,63.2,20.7,22988.0,4,4,17.400382808421785
2023,대구광역시 남구,10.6,2.5,229.3,64.4,330.0,90.6,5.9,1.5,139187.0,8,8,5.747663215673878
2023,대구광역시 달서구,1994.8,515.0,852.6,235.1,930.4,255.8,1770.5,451.5,527781.0,13,11,2.0841978017397365
2023,대구광역시 달성군,3179.3,818.5,399.5,111.3,495.4,131.8,2993.7,768.8,262084.0,8,7,2.670899406297218
2023,대구광역시 동구,129.6,32.8,556.9,153.8,817.4,225.0,85.5,21.4,342813.0,6,6,1.7502253415127196
2023,대구광역시 북구,685.5,168.8,659.5,183.5,834.2,229.0,579.0,141.2,419624.0,4,4,0.9532343240615408
2023,대구광역시 서구,364.0,95.9,246.6,68.2,309.3,82.2,212.7,51.4,164088.0,6,6,3.6565745209887375
2023,대구광역시 수성구,212.1,53.8,678.0,188.4,761.0,205.2,13.5,3.5,407331.0,8,7,1.7185041158173575
2023,대구광역시 중구,36.4,9.3,165.6,48.2,502.5,140.3,18.7,4.5,89064.0,2,2,2.245576214856732
2023,대전광역시 대덕구,1932.7,491.3,257.2,68.5,401.3,103.7,1713.0,436.7,169853.0,6,6,3.5324663091025768
2023,대전광역시 동구,83.6,20.8,344.3,93.0,417.9,110.0,53.0,12.9,217628.0,2,2,0.9189993934604004
2023,대전광역시 서구,52.8,13.3,715.4,193.9,1089.1,291.8,17.8,4.2,464634.0,12,12,2.5826779787962137
2023,대전광역시 유성구,879.8,239.9,587.6,163.6,1565.6,438.6,353.7,98.1,366845.0,11,10,2.7259469258133544
2023,대전광역시 중구,34.9,8.9,342.0,93.6,523.5,140.6,20.8,5.2,223256.0,10,9,4.031246640627799
2023,부산광역시 강서구,3338.5,845.7,247.6,68.9,704.4,189.8,3266.8,827.3,142396.0,10,9,6.3204022584904065
2023,부산광역시 금정구,243.8,61.8,341.5,91.8,391.6,105.4,103.5,25.7,215590.0,6,6,2.7830604387958626
2023,부산광역시 기장군,730.1,197.4,164.9,46.3,558.1,173.1,538.5,133.6,178729.0,12,12,6.714075499778995
2023,부산광역시 남구,519.5,134.8,427.3,117.5,425.8,116.9,403.6,104.4,254185.0,6,6,2.3604854731789837
2023,부산광역시 동구,80.1,20.3,146.5,39.7,303.3,83.0,32.3,8.2,87792.0,3,3,3.417167851284855
2023,부산광역시 동래구,98.6,25.4,433.1,117.3,458.9,126.6,9.7,2.5,270815.0,1,0,0.0
2023,부산광역시 부산진구,238.9,63.4,613.0,168.9,835.2,232.1,25.3,6.2,359508.0,6,6,1.6689475616676126
2023,부산광역시 북구,111.4,29.9,417.3,114.7,346.7,94.4,14.2,3.7,273596.0,5,4,1.4620096785040717
2023,부산광역시 사상구,742.1,180.1,304.8,83.9,428.8,116.1,698.1,168.8,202932.0,6,6,2.9566554313760274
2023,부산광역시 사하구,1425.9,358.0,458.3,126.9,436.3,117.7,1311.1,326.7,297831.0,11,11,3.6933697298132167
2023,부산광역시 서구,176.6,49.4,172.3,46.8,246.0,66.9,150.7,42.6,104089.0,4,4,3.842865240323185
2023,부산광역시 수영구,13.7,3.5,299.7,83.0,330.7,90.5,6.2,1.6,174518.0,3,3,1.7190203875817969
2023,부산광역시 연제구,64.7,18.0,332.2,91.2,404.1,110.8,12.0,2.9,205766.0,6,6,2.915933633350505
2023,부산광역시 영도구,118.8,33.0,165.7,44.4,168.4,44.8,87.6,24.7,106548.0,11,10,9.385441303450088
2023,부산광역시 중구,6.3,1.5,64.2,17.4,287.9,80.6,4.5,1.1,38619.0,1,1,2.589399000491986
2023,부산광역시 해운대구,157.3,37.3,704.7,194.0,924.8,263.8,85.8,19.8,380448.0,3,3,0.7885440322987636
