net,scene,date,지점,LST_30m,LST_100m,LST_500m,LST_1000m,NDVI_30m,NDVI_100m,NDVI_500m,NDVI_1000m
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,825,38.861070500000004,38.146671767428586,35.080532871340225,34.90613743926468,0.3205724007111401,0.32133349224053154,0.4412200210200689,0.49136275650921735
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,801,34.44612800000001,34.83158299828573,32.37166854748203,31.72857403368148,0.6898352014400038,0.6905460465123833,0.7292815861938249,0.773314420416439
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,972,36.14146592000003,36.85469276000002,,33.47409020111166,0.28119317121066506,0.48783694998804966,,0.6244883685969708
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,860,40.06421354000005,40.85276703028573,42.068372989045955,41.613075123152726,0.39118812301611916,0.3564400567402124,0.2789113919779113,0.2728300440531514
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,830,38.55230936000002,38.771778796571446,37.55356234989693,37.243461792716886,0.705599160036748,0.547081720601643,0.5422837333310113,0.5560620081871185
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,805,32.39417666000001,33.1084126297143,32.63043505731961,30.754050372899734,0.6906243416712732,0.5997197579078144,0.6760873319614249,0.7827896926424691
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,845,40.72161272000002,40.383131082285736,36.65246219783135,37.0955129341012,0.47775335593010015,0.5201472619236048,0.47671902458345283,0.49622446208326426
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,927,35.93068802000003,36.18853693828573,37.10427869463919,34.656209364540004,0.4653867276497395,0.456104298627265,0.5546547898025279,0.6446688419201831
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,939,35.88739310000002,36.14193201363639,37.17350440545908,38.314032416246704,0.7638382694326454,0.6848972999113075,0.5583951339341451,0.5041209291302591
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,842,32.729142620000026,32.685457069142885,33.68060924743975,32.22394013901463,0.5481062690909487,0.6507622624661983,0.5389589664381962,0.6592038927763432
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,824,35.81105732000003,35.701420259428595,34.446617731078305,33.630213016526916,0.37210893639343756,0.4236750655684608,0.5128827967048187,0.5775693561371497
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,915,33.46971361999999,33.7776609457143,33.233389272941196,31.884311124586006,0.49577573692674126,0.3838591351554632,0.4960451501844929,0.653340030784062
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,941,37.83338582000001,37.907117394285734,38.71404361534248,38.726888988736604,0.6389569347488007,0.4481927903213204,0.3589816058164963,0.3399080268134231
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,835,37.27624856000002,37.10896089542859,36.27813468925061,34.753700635234544,0.40622123273460087,0.49948246826924786,0.5248525704654029,0.5984081973148148
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,826,38.50217840000003,38.49433323028573,37.98069031683124,36.89278637367032,0.30117649251145123,0.3894797393515601,0.49080977186925073,0.5289107854815032
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,803,34.32763664000004,33.84260332571431,33.379881946597955,32.79157438292859,0.5678127097639084,0.5685799516345684,0.6178038030382877,0.6492452604941072
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,849,33.94253972000001,33.97239042800003,34.54832940717559,33.1304437090724,0.3423470416433921,0.5944147840241383,0.6028004009255783,0.6721475465332051
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,846,41.036070560000006,40.04552836400001,41.441922886844225,41.16603857194513,0.7648362817136886,0.6250481450387555,0.43346134882351317,0.4178969354598008
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,905,37.96554925999999,38.37782757714288,36.221407652371155,34.20382531567136,0.40804433001377444,0.48423106430102875,0.6443909299640127,0.7323258079717476
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,673,36.69404582000002,36.67760677142859,38.24572901855672,36.85720635546394,0.6580950387486314,0.6298950301830089,0.45793923826085914,0.4890838799809125
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,802,34.59993890000002,34.21336083800002,32.87052199699318,32.51284548401845,0.43608768341689236,0.5221844227592726,0.753564425738162,0.7789357677735406
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,859,28.47598640000003,28.436662893714303,28.37338707113404,28.428089759782438,0.7884514268467459,0.8670899811583367,0.8770864747602082,0.8723161606888759
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,819,39.29629838000002,38.24608732057144,33.4080522259794,31.674627510460944,0.4224160682368609,0.4338733284937181,0.6982698192777843,0.7621924418601018
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,844,40.35474524,39.864763934857166,37.35827312791668,37.1674048050262,0.2877442481755778,0.4356869102535728,0.5267252888403443,0.5279399458259818
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,839,37.86300866000001,38.6381066156522,37.87714442488373,35.710606819586225,0.21098305564864395,0.26690798308483166,0.4334414250134769,0.5508554426346484
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,841,33.368312360000026,33.58341975200002,33.13201089484538,32.75685695747158,0.614893684071066,0.6750021230790296,0.692357698964883,0.7240619539951365
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,935,36.31464560000003,35.709037561142885,33.73070883584354,32.89670792519181,0.28929027586019523,0.4251726841745726,0.4040173080136565,0.5299127485385151
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,992,39.470617400000016,38.942484481142884,36.79640631814435,33.89027702840931,0.35717881929052586,0.40909838494196166,0.47252813875043637,0.589732060932858
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,900,35.73244286000003,36.39176264171431,35.36228308027588,34.572226207078806,0.6130078714255812,0.5154085510254574,0.554458966668133,0.6415763287063976
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,806,37.93250840000002,37.24808407520002,35.67579314455698,35.94202370013218,0.42149058892908514,0.46371055519594284,0.5331777512194583,0.5082098843881527
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,811,38.25608096,38.51923594742859,40.40362226742198,39.914674651783805,0.5688612505082443,0.6540479078734394,0.44673085969531995,0.458572673424841
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,813,37.594124420000014,37.50213085314289,36.813939133829805,36.64557195206391,0.6203701870073629,0.623702036389321,0.5659873720026475,0.5737283900057298
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,922,35.38836218,35.180318696000015,32.14534480400002,29.94698276448235,0.6138365491955152,0.6290432133410954,0.7243690519658585,0.7952944827981355
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,944,39.587969420000015,39.33926777428573,37.840463701037756,35.285891383800646,0.4718578783460197,0.3203018379532419,0.4480370293752816,0.523729359424498
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,940,34.035965600000054,35.07846170000001,36.257268702050304,38.085297204431015,0.42388702728578254,0.5499942382223761,0.5102734704892501,0.3835712732322044
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,848,38.83030832000003,37.93973507085717,33.760428944593926,32.638874141740914,0.267687888228176,0.37276856847316414,0.6227737291310439,0.677614683868655
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,829,37.43689550000001,38.00038051142858,37.96363469896909,36.28993886262393,0.6861614007341323,0.6066192452656686,0.47406325512518777,0.5585954277006248
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,954,33.37742708000002,34.23382012914287,37.25968171244446,39.6038712407536,0.8287820447542377,0.7613936280622537,0.5116225092945709,0.2886582100849356
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,854,,,,31.4619308281979,,,,0.7914090290509959
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,828,36.585808520000036,34.85413831333335,33.69671955300887,33.14974007983169,0.5378715587740552,0.6627805895693089,0.5026771562157324,0.5506950457304944
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,814,35.695983980000015,35.86978215885715,35.12362028268043,33.278307138888266,0.535817192356556,0.6133637067756242,0.5962824129518439,0.6706909236254628
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,815,38.515850480000005,37.9224496554286,37.87237098732525,36.428710915203304,0.32469894029373453,0.3717104300184969,0.4668747588294588,0.5364348752527449
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,816,32.82484718000003,32.82618183542859,34.453655183750016,33.070228801344555,0.6590727471567168,0.7684762966867325,0.590673720962109,0.6744765650802729
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,807,36.360219199999996,35.730619916,33.47894093360002,32.81265281541355,0.5549478915309373,0.3692515374550845,0.5911894307080396,0.6257039478234991
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,847,35.99790908,35.412939371428585,31.6319381411972,30.53063823007033,0.5476046653383191,0.5462552057654548,0.6665124282711328,0.7129659372423249
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,823,34.261554920000016,34.9896908377143,33.460194618064534,32.809949020123476,0.6084710718946796,0.5441554694272467,0.5638481847061741,0.641311155551448
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,995,,,31.446135275451525,30.382448789624487,,,0.7689006013265588,0.7982589883024831
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,832,37.644255380000004,37.153395155428576,35.93008237772677,35.708037418639435,0.4997248728432592,0.5685209567204726,0.4954568815237957,0.5053285044499325
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,925,36.234891800000014,36.64264530971429,36.200358011724155,33.9981967484183,0.4809084739112148,0.5734596223182484,0.5168954070403213,0.583272023235396
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,810,39.72469021999999,38.297057912413806,36.46235509235523,36.391888092911486,0.48165786577752295,0.5584207502271534,0.5251635350018314,0.546752475374166
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,840,36.48554660000002,37.00749453028573,41.47715229034485,39.97912731877553,0.6975009142534166,0.67739111741449,0.3761389485292289,0.40963300423932275
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,836,34.34358740000001,34.48235901200002,33.5246541104358,31.363179273865136,0.6266623232738843,0.6143771214706844,0.6357420572199617,0.7440040793560617
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,943,32.17428404000001,31.99736081428574,30.378978927473074,29.64802637929921,0.8110233764873489,0.7010140018163497,0.8057778405552323,0.8441107281827397
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,837,35.73130352000004,35.68813881028573,35.755860016494864,36.87983847980534,0.5757873621496435,0.5836803137289843,0.665425375612191,0.5999452501542822
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,937,33.411607280000034,33.4310737177143,33.577488919587644,32.82178749026951,0.4836581514634615,0.6573268375462921,0.6379489134258616,0.6571871835493059
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,138,47.14521163999999,47.08157136285715,45.48206007500002,45.47803769783374,0.49836166573452423,0.359026351571224,0.22684658212875727,0.22457818422092424
ASOS,LC09_L2SP_114035_20250709_20250711_02_T1,2025-07-09,277,36.80114378000002,37.44265730514287,40.523782577319615,39.38394761249461,0.7057863086948557,0.7072955941467939,0.5469496816014948,0.5694940132781735
