scene,date,path,row,지점,LST_30m,LST_100m,LST_500m,LST_1000m,지점명,Tavg,Tmax,Tmin,net,scene_id
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,277,32.60267588000003,33.13702634000003,35.63781891113404,34.65293044167766,영덕,23.2,28.6,18.5,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,281,,37.39622106200001,35.54937163727274,34.44158037071669,영천,23.2,28.7,18.5,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,272,31.455360500000022,31.983786392000013,33.00349647505156,32.604913135385075,영주,22.8,28.1,16.4,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,278,36.97318412000004,36.44210926250002,,,의성,22.6,29.5,17.1,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,285,,,37.26144432826501,35.59060419438508,합천,23.6,29.2,18.7,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,288,40.96429214000002,40.5152619697143,38.439891747769806,38.61375640764288,밀양,24.8,29.8,20.6,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,136,34.05647372000004,34.38392003600002,33.933202236985764,33.52814166152516,안동,22.8,28.9,16.7,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,253,35.820172040000024,36.6836615497143,40.80270945340208,40.06921540904614,김해시,24.8,29.6,21.5,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,257,38.99095526000004,39.04834544342859,41.139525722688056,41.23138135337884,양산시,25.7,31.4,22.0,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,152,36.58466918000003,36.71579093771431,34.55159721278353,34.15818004320539,울산,23.8,28.7,20.7,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,283,36.690627800000016,35.962556987428584,32.17113993797911,32.049966293699356,경주시,23.9,31.0,19.0,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,271,31.27876280000002,31.410633266857168,30.57145974494847,29.385407392293175,봉화,20.3,26.5,14.9,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,276,31.45763918000004,30.870781422285738,29.869315071793686,28.970639388797252,청송군,22.2,29.7,17.1,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,138,,,45.065237754351166,43.9659945804781,포항,26.6,32.5,23.7,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,277,39.77254250000002,40.017012311428594,42.13659861010311,40.65288830527342,영덕,25.9,33.2,20.0,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,281,,45.98040739100003,43.588803260545475,42.08823494841505,영천,25.7,33.4,18.5,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,272,39.00804536000002,39.369834638857164,40.65355379484538,40.41857437424565,영주,26.0,32.7,17.2,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,278,45.11832578,44.87538593942858,41.82876602058044,42.125534733657354,의성,25.1,34.1,17.4,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,279,44.61131948000004,44.89716360971431,42.1474517045361,40.906293438763264,구미,26.8,34.0,20.4,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,288,42.95357978000002,42.51324114628573,41.4419029202404,41.44373596335331,밀양,26.1,33.4,19.6,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,136,39.115143320000016,39.242806367000014,37.640612276537695,37.14262094483667,안동,25.8,33.3,18.0,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,253,37.097372180000015,37.75779874914288,42.30246458865981,41.518144460652756,김해시,25.4,31.6,19.2,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,257,39.699624740000026,39.6280416354286,40.81266625646628,41.03752026147296,양산시,25.9,32.7,19.9,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,152,39.82723082000001,39.56983763771431,37.45189876762888,37.17817894009599,울산,25.0,31.0,20.1,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,143,43.59274952000002,43.245283372571436,43.57614770857145,44.08943958960856,대구,27.9,33.9,21.8,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,283,42.47163896000003,41.50560885028574,37.29562793851165,37.21365982955846,경주시,26.8,34.9,19.6,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,271,42.10477148000003,41.421916189142884,38.11574246185568,35.67959972934442,봉화,23.3,32.1,15.4,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240612_20240628_02_T1,2024-06-12,114,035,276,39.04336490000003,38.854885511428584,37.09992175202799,35.24749743204142,청송군,24.2,33.9,15.7,ASOS,LC08_L2SP_114035_20240612_20240628_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,138,42.44201612000003,42.60220732400001,42.93740850258066,42.87150912105822,포항,24.7,29.4,19.0,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,277,34.860847760000034,35.18842428628573,37.132503787628885,35.860648645033514,영덕,22.1,27.8,16.4,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,281,,43.108586987000024,40.759915259272745,39.801612028076114,영천,24.2,32.6,17.2,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,272,35.58432866000002,35.70308044057145,36.344190134845384,36.171503065454566,영주,22.6,30.9,13.7,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,278,43.96645304000001,43.463938994857145,39.962659172566596,40.37486247873847,의성,24.6,33.4,16.0,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,279,41.91678038000001,41.79711712742858,39.2604620259794,38.23711240049243,구미,26.1,32.8,17.6,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,285,,,39.5039871416495,37.53813677792847,합천,24.9,33.3,16.0,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,288,41.98628012000003,41.81879714000003,41.18318069783643,42.05325784790421,밀양,25.0,33.4,17.6,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,136,40.60369102999999,41.13826935800002,40.18306921034625,39.50180225353671,안동,24.5,32.7,17.2,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,253,36.38756336000002,37.076831507428594,42.11057140002296,41.774396444844534,김해시,23.8,29.7,18.7,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,257,41.81082175999999,41.83159030057144,43.348585678297894,43.42855376581168,양산시,25.3,31.3,20.2,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,152,36.86950418,36.79606557885716,34.58410168247425,34.18305198848371,울산,23.1,27.8,18.5,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,143,37.5679196,37.36013653657145,37.76136893348839,38.38149918347279,대구,26.0,34.1,18.2,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,283,41.4245855,40.564188484571446,36.031064272835486,35.86827695626089,경주시,24.3,33.3,16.8,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240628_20240709_02_T1,2024-06-28,114,035,276,37.00850366000001,36.41764193600002,34.34791502203988,32.816709319064685,청송군,23.5,33.0,15.1,ASOS,LC08_L2SP_114035_20240628_20240709_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,138,45.21744836000003,45.25273534742859,43.95615536889954,43.956258690453275,포항,26.2,29.9,23.5,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,277,36.54707096000004,37.06219505750002,38.79752184579163,37.84752910558935,영덕,24.7,30.7,20.2,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,281,,44.97892753100001,42.28067003954547,40.92312459432513,영천,25.9,32.7,21.6,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,272,36.92305316000003,36.95319684114288,38.32289091793817,37.65864544063795,영주,24.9,31.1,19.2,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,278,45.92269981999999,45.24824309257145,41.51587926558254,41.698544871238454,의성,26.1,34.3,19.6,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
LC08_L2SP_114035_20240831_20240906_02_T1,2024-08-31,114,035,279,41.94298520000001,41.93022459200002,39.49803986515466,38.72383484360826,구미,27.6,32.8,23.2,ASOS,LC08_L2SP_114035_20240831_20240906_02_T1
