"행정구역(동읍면)별","5세별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"종로구","75 - 79세","남자인구수[명]","명","2483","2321","2257","2289","2351","2383",
"종로구","75 - 79세","여자인구수[명]","명","3285","3062","2963","2996","3038","3054",
"종로구","80 - 84세","남자인구수[명]","명","1665","1680","1813","1802","1769","1708",
"종로구","80 - 84세","여자인구수[명]","명","2334","2398","2532","2526","2568","2592",
"종로구","85 - 89세","남자인구수[명]","명","750","802","803","872","950","1009",
"종로구","85 - 89세","여자인구수[명]","명","1229","1269","1306","1444","1550","1571",
"종로구","90 - 94세","남자인구수[명]","명","256","220","228","260","303","326",
"종로구","90 - 94세","여자인구수[명]","명","546","530","497","500","581","657",
"종로구","95 - 99세","남자인구수[명]","명","115","70","58","55","54","60",
"종로구","95 - 99세","여자인구수[명]","명","176","130","132","146","168","169",
"종로구","100+","남자인구수[명]","명","97","9","10","9","13","10",
"종로구","100+","여자인구수[명]","명","179","23","19","26","28","24",
"중구","0 - 4세","남자인구수[명]","명","1671","1512","1432","1378","1303","1268",
"중구","0 - 4세","여자인구수[명]","명","1610","1415","1357","1309","1259","1239",
"중구","5 - 9세","남자인구수[명]","명","1834","1753","1626","1501","1417","1270",
"중구","5 - 9세","여자인구수[명]","명","1721","1619","1549","1442","1337","1200",
"중구","10 - 14세","남자인구수[명]","명","1554","1505","1475","1479","1418","1391",
"중구","10 - 14세","여자인구수[명]","명","1538","1548","1462","1419","1385","1332",
"중구","15 - 19세","남자인구수[명]","명","1854","1701","1668","1611","1518","1504",
"중구","15 - 19세","여자인구수[명]","명","1827","1720","1717","1647","1562","1577",
"중구","20 - 24세","남자인구수[명]","명","3531","3306","3153","3067","2846","2578",
"중구","20 - 24세","여자인구수[명]","명","4123","4063","3781","3660","3500","3126",
"중구","25 - 29세","남자인구수[명]","명","5320","5171","5026","4912","4635","4423",
"중구","25 - 29세","여자인구수[명]","명","5612","5769","5659","5898","5796","5589",
"중구","30 - 34세","남자인구수[명]","명","4999","5159","5330","5739","5914","5816",
"중구","30 - 34세","여자인구수[명]","명","5132","5229","5416","5819","6100","6012",
"중구","35 - 39세","남자인구수[명]","명","5028","4750","4611","4693","4839","4732",
"중구","35 - 39세","여자인구수[명]","명","4948","4748","4504","4613","4743","4662",
"중구","40 - 44세","남자인구수[명]","명","4531","4557","4514","4618","4458","4246",
"중구","40 - 44세","여자인구수[명]","명","4204","4250","4287","4486","4379","4269",
"중구","45 - 49세","남자인구수[명]","명","4691","4341","4027","3926","3866","3840",
"중구","45 - 49세","여자인구수[명]","명","4585","4231","3940","3739","3713","3743",
"중구","50 - 54세","남자인구수[명]","명","5257","5191","5006","4804","4537","4226",
"중구","50 - 54세","여자인구수[명]","명","5074","5173","5025","4921","4698","4349",
"중구","55 - 59세","남자인구수[명]","명","5251","4975","4793","4725","4756","4698",
"중구","55 - 59세","여자인구수[명]","명","5120","4704","4572","4618","4589","4525",
"중구","60 - 64세","남자인구수[명]","명","5049","5079","4956","4914","4791","4501",
"중구","60 - 64세","여자인구수[명]","명","5002","4993","4891","4849","4777","4532",
"중구","65 - 69세","남자인구수[명]","명","3665","3944","4057","4223","4346","4332",
"중구","65 - 69세","여자인구수[명]","명","3835","4067","4127","4347","4495","4544",
"중구","70 - 74세","남자인구수[명]","명","2721","2649","2695","2710","2851","3080",
"중구","70 - 74세","여자인구수[명]","명","3197","2979","3013","3056","3170","3414",
"중구","75 - 79세","남자인구수[명]","명","2118","1984","1950","2025","2085","2176",
"중구","75 - 79세","여자인구수[명]","명","2697","2609","2603","2700","2739","2771",
"중구","80 - 84세","남자인구수[명]","명","1275","1288","1466","1488","1503","1484",
"중구","80 - 84세","여자인구수[명]","명","1905","1996","2125","2181","2244","2223",
"중구","85 - 89세","남자인구수[명]","명","525","533","550","613","689","726",
"중구","85 - 89세","여자인구수[명]","명","1131","1150","1223","1279","1338","1382",
"중구","90 - 94세","남자인구수[명]","명","223","184","182","183","187","212",
"중구","90 - 94세","여자인구수[명]","명","474","483","484","521","541","584",
"중구","95 - 99세","남자인구수[명]","명","60","37","38","45","49","50",
"중구","95 - 99세","여자인구수[명]","명","143","108","119","127","149","157",
"중구","100+","남자인구수[명]","명","65","11","8","5","7","7",
"중구","100+","여자인구수[명]","명","140","15","20","22","15","15",
"용산구","0 - 4세","남자인구수[명]","명","3248","3014","2826","2604","2415","2381",
"용산구","0 - 4세","여자인구수[명]","명","3050","2791","2672","2464","2317","2303",
"용산구","5 - 9세","남자인구수[명]","명","3722","3509","3282","3056","2786","2580",
"용산구","5 - 9세","여자인구수[명]","명","3476","3339","3193","2965","2732","2556",
"용산구","10 - 14세","남자인구수[명]","명","3614","3483","3415","3288","3200","3102",
"용산구","10 - 14세","여자인구수[명]","명","3578","3468","3289","3106","2954","2885",
"용산구","15 - 19세","남자인구수[명]","명","4318","3961","3839","3641","3391","3336",
"용산구","15 - 19세","여자인구수[명]","명","4099","3780","3698","3585","3371","3298",
"용산구","20 - 24세","남자인구수[명]","명","6444","6169","5726","5247","4718","4267",
"용산구","20 - 24세","여자인구수[명]","명","7313","7121","6834","6387","5917","5640",
"용산구","25 - 29세","남자인구수[명]","명","9481","9263","9048","8602","7899","7548",
"용산구","25 - 29세","여자인구수[명]","명","10247","10225","10195","9867","9241","9118",
"용산구","30 - 34세","남자인구수[명]","명","9532","9726","10278","10305","10112","10090",
"용산구","30 - 34세","여자인구수[명]","명","9526","9952","10441","10418","10470","10733",
"용산구","35 - 39세","남자인구수[명]","명","9500","8915","8575","8310","7945","8055",
"용산구","35 - 39세","여자인구수[명]","명","9511","9126","8753","8377","8259","8364",
"용산구","40 - 44세","남자인구수[명]","명","8356","8382","8457","8403","7949","7700",
"용산구","40 - 44세","여자인구수[명]","명","8642","8441","8462","8386","7802","7565",
"용산구","45 - 49세","남자인구수[명]","명","9173","8269","7594","7067","6557","6642",
"용산구","45 - 49세","여자인구수[명]","명","9527","8689","7999","7432","7049","7152",
"용산구","50 - 54세","남자인구수[명]","명","9413","9406","9298","8816","8083","7598",
"용산구","50 - 54세","여자인구수[명]","명","9720","9915","9741","9387","8761","8253",
"용산구","55 - 59세","남자인구수[명]","명","8931","8415","7993","7949","7812","7845",
"용산구","55 - 59세","여자인구수[명]","명","9006","8386","8228","8165","8001","8149",
"용산구","60 - 64세","남자인구수[명]","명","8157","8117","8046","7899","7523","7315",
"용산구","60 - 64세","여자인구수[명]","명","8677","8539","8290","8186","7696","7506",
"용산구","65 - 69세","남자인구수[명]","명","5603","5951","6173","6395","6390","6508",
"용산구","65 - 69세","여자인구수[명]","명","6403","6562","6645","6846","6879","6952",
"용산구","70 - 74세","남자인구수[명]","명","4126","3972","3950","3950","3993","4315",
"용산구","70 - 74세","여자인구수[명]","명","5289","4799","4672","4700","4654","4986",
"용산구","75 - 79세","남자인구수[명]","명","3275","3005","2845","2930","2936","2987",
"용산구","75 - 79세","여자인구수[명]","명","4513","4184","4017","4042","3867","3923",
"용산구","80 - 84세","남자인구수[명]","명","2183","2181","2269","2274","2144","2096",
"용산구","80 - 84세","여자인구수[명]","명","3457","3421","3472","3359","3223","3164",
"용산구","85 - 89세","남자인구수[명]","명","1036","1025","1075","1135","1139","1181",
"용산구","85 - 89세","여자인구수[명]","명","1896","1964","1994","2137","2150","2167",
"용산구","90 - 94세","남자인구수[명]","명","346","342","336","362","382","421",
"용산구","90 - 94세","여자인구수[명]","명","847","797","758","788","805","870",
"용산구","95 - 99세","남자인구수[명]","명","157","85","56","67","78","79",
"용산구","95 - 99세","여자인구수[명]","명","277","193","176","198","202","213",
"용산구","100+","남자인구수[명]","명","107","20","6","12","17","19",
"용산구","100+","여자인구수[명]","명","264","51","34","44","35","32",
"성동구","0 - 4세","남자인구수[명]","명","5191","4700","4507","4089","3907","3972",
"성동구","0 - 4세","여자인구수[명]","명","4870","4479","4130","3767","3656","3817",
"성동구","5 - 9세","남자인구수[명]","명","5278","5097","4868","4601","4345","4118",
"성동구","5 - 9세","여자인구수[명]","명","5110","4946","4730","4436","4066","3774",
"성동구","10 - 14세","남자인구수[명]","명","4629","4598","4395","4192","4105","4084",
"성동구","10 - 14세","여자인구수[명]","명","4488","4400","4273","4148","4132","4135",
"성동구","15 - 19세","남자인구수[명]","명","5262","4838","4812","4732","4503","4408",
"성동구","15 - 19세","여자인구수[명]","명","5436","5067","5027","4779","4591","4538",
"성동구","20 - 24세","남자인구수[명]","명","9447","8908","8543","8001","7558","6984",
"성동구","20 - 24세","여자인구수[명]","명","10143","9631","9280","9015","8548","8081",
"성동구","25 - 29세","남자인구수[명]","명","12824","12487","12122","11820","11184","11012",
"성동구","25 - 29세","여자인구수[명]","명","12629","12437","12193","12143","11663","11779",
"성동구","30 - 34세","남자인구수[명]","명","11327","11157","11248","11662","12166","12587",
"성동구","30 - 34세","여자인구수[명]","명","12349","12090","12105","12284","12636","13168",
"성동구","35 - 39세","남자인구수[명]","명","12705","11875","11070","10695","10568","11100",
"성동구","35 - 39세","여자인구수[명]","명","12524","11693","11247","11023","11054","11438",
"성동구","40 - 44세","남자인구수[명]","명","11224","11161","11200","11243","10914","10728",
"성동구","40 - 44세","여자인구수[명]","명","10770","10857","10871","10919","10521","10313",
"성동구","45 - 49세","남자인구수[명]","명","11351","10572","9999","9282","8984","9154",
"성동구","45 - 49세","여자인구수[명]","명","11675","10756","10169","9482","9335","9378",
"성동구","50 - 54세","남자인구수[명]","명","11896","11792","11634","11307","10760","10126",
