시군구,발생,사망,중증,고령,작업장,중증률,n
인천광역시 중구,86,1,6,0.3023255813953488,0.43023255813953487,6.976744186046512,86
전라남도 강진군,20,0,1,0.45,0.45,5.0,20
전라남도 고흥군,32,1,3,0.65625,0.34375,9.375,32
전라남도 곡성군,24,0,0,0.3333333333333333,0.4166666666666667,0.0,24
전라남도 광양시,207,0,11,0.2318840579710145,0.6473429951690821,5.314009661835748,207
전라남도 구례군,43,0,0,0.4883720930232558,0.11627906976744186,0.0,43
전라남도 나주시,37,0,4,0.35135135135135137,0.43243243243243246,10.81081081081081,37
전라남도 담양군,29,0,2,0.41379310344827586,0.1724137931034483,6.896551724137931,29
전라남도 목포시,121,1,7,0.2809917355371901,0.4380165289256198,5.785123966942149,121
전라남도 무안군,63,0,6,0.30158730158730157,0.3492063492063492,9.523809523809524,63
전라남도 보성군,19,1,2,0.6842105263157895,0.10526315789473684,10.526315789473683,19
전라남도 순천시,157,1,7,0.20382165605095542,0.3630573248407643,4.45859872611465,157
전라남도 신안군,55,2,8,0.36363636363636365,0.2545454545454545,14.545454545454545,55
전라남도 여수시,218,1,17,0.25688073394495414,0.6192660550458715,7.79816513761468,218
전라남도 영광군,38,0,5,0.3684210526315789,0.15789473684210525,13.157894736842104,38
전라남도 영암군,55,1,10,0.10909090909090909,0.6363636363636364,18.181818181818183,55
전라남도 완도군,22,0,2,0.4090909090909091,0.3181818181818182,9.090909090909092,22
전라남도 장성군,27,1,3,0.25925925925925924,0.4444444444444444,11.11111111111111,27
전라남도 장흥군,8,1,1,0.125,0.25,12.5,8
전라남도 진도군,38,0,3,0.5789473684210527,0.23684210526315788,7.894736842105263,38
전라남도 함평군,48,0,0,0.4166666666666667,0.2708333333333333,0.0,48
전라남도 해남군,80,1,8,0.4875,0.1875,10.0,80
전라남도 화순군,20,0,0,0.3,0.2,0.0,20
전라북도 고창군,14,0,4,0.5,0.2857142857142857,28.57142857142857,14
전라북도 군산시,141,1,2,0.22695035460992907,0.49645390070921985,1.4184397163120568,141
전라북도 김제시,41,1,3,0.5365853658536586,0.3170731707317073,7.317073170731707,41
전라북도 남원시,57,0,0,0.42105263157894735,0.22807017543859648,0.0,57
전라북도 무주군,19,1,1,0.631578947368421,0.10526315789473684,5.263157894736842,19
전라북도 부안군,36,0,0,0.2777777777777778,0.2222222222222222,0.0,36
전라북도 순창군,39,0,0,0.46153846153846156,0.20512820512820512,0.0,39
전라북도 완주군,76,0,3,0.3026315789473684,0.3815789473684211,3.9473684210526314,76
전라북도 익산시,129,0,2,0.35658914728682173,0.3333333333333333,1.550387596899225,129
전라북도 임실군,36,0,4,0.3055555555555556,0.25,11.11111111111111,36
전라북도 장수군,19,0,1,0.7894736842105263,0.05263157894736842,5.263157894736842,19
전라북도 전주시,4,0,0,0.5,0.75,0.0,4
전라북도 전주시 덕진구,107,0,2,0.21495327102803738,0.411214953271028,1.8691588785046727,107
전라북도 전주시 완산구,84,0,1,0.23809523809523808,0.35714285714285715,1.1904761904761905,84
전라북도 정읍시,83,1,4,0.46987951807228917,0.2891566265060241,4.819277108433735,83
전라북도 진안군,58,3,4,0.5172413793103449,0.1896551724137931,6.896551724137931,58
제주특별자치도 서귀포시,146,1,7,0.3219178082191781,0.3219178082191781,4.794520547945205,146
제주특별자치도 제주시,406,1,16,0.23891625615763548,0.4014778325123153,3.9408866995073892,406
충청남도 계룡시,16,0,1,0.3125,0.25,6.25,16
충청남도 공주시,41,2,4,0.5365853658536586,0.12195121951219512,9.75609756097561,41
충청남도 금산군,17,0,0,0.4117647058823529,0.23529411764705882,0.0,17
충청남도 논산시,47,1,6,0.3829787234042553,0.19148936170212766,12.76595744680851,47
충청남도 당진시,144,3,8,0.22916666666666666,0.5347222222222222,5.555555555555555,144
충청남도 보령시,25,0,0,0.28,0.36,0.0,25
충청남도 부여군,60,3,4,0.3333333333333333,0.2,6.666666666666667,60
충청남도 서산시,92,0,5,0.358695652173913,0.391304347826087,5.434782608695652,92
충청남도 서천군,19,3,4,0.631578947368421,0.2631578947368421,21.052631578947366,19
충청남도 아산시,118,1,5,0.16101694915254236,0.576271186440678,4.23728813559322,118
충청남도 예산군,114,4,6,0.39473684210526316,0.4649122807017544,5.263157894736842,114
충청남도 천안시 동남구,65,0,4,0.26153846153846155,0.47692307692307695,6.153846153846154,65
충청남도 천안시 서북구,66,1,5,0.18181818181818182,0.48484848484848486,7.575757575757576,66
충청남도 청양군,47,1,3,0.425531914893617,0.2978723404255319,6.382978723404255,47
충청남도 태안군,23,2,2,0.34782608695652173,0.2608695652173913,8.695652173913043,23
충청남도 홍성군,59,0,4,0.3389830508474576,0.4067796610169492,6.779661016949152,59
충청북도 괴산군,30,0,3,0.43333333333333335,0.3333333333333333,10.0,30
