연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름
2024,대전광역시 서구,52.2,13.1,747.5,199.6,1109.1,299.9,16.7,4.0
2024,대전광역시 유성구,928.0,246.7,632.0,174.7,1615.2,450.6,367.3,101.8
2024,대전광역시 중구,34.5,8.8,365.5,100.0,526.4,142.7,20.0,5.1
2024,부산광역시 강서구,3356.3,867.7,265.3,72.9,747.3,202.4,3289.0,851.1
2024,부산광역시 금정구,243.7,63.0,352.5,95.2,397.4,107.6,103.2,26.4
2024,부산광역시 기장군,740.2,178.4,175.5,50.2,459.0,122.4,553.6,139.2
2024,부산광역시 남구,527.3,136.0,456.8,125.5,442.7,121.0,414.6,108.1
2024,부산광역시 동구,80.3,21.7,155.0,41.8,311.4,84.8,33.6,8.6
2024,부산광역시 동래구,98.2,25.4,459.7,125.3,467.2,129.8,9.7,2.6
2024,부산광역시 부산진구,228.0,60.9,663.1,183.3,844.8,234.7,24.0,6.1
2024,부산광역시 북구,110.0,29.4,433.5,120.9,349.8,95.6,13.7,3.6
2024,부산광역시 사상구,722.1,179.4,319.1,88.9,433.9,118.8,676.5,168.2
2024,부산광역시 사하구,1350.0,349.8,475.6,131.1,445.4,120.4,1234.4,322.3
2024,부산광역시 서구,176.0,48.9,181.2,48.9,252.1,69.4,149.9,42.2
2024,부산광역시 수영구,13.5,3.4,315.5,87.6,345.8,94.7,5.9,1.5
2024,부산광역시 연제구,63.4,17.7,367.7,101.0,411.3,115.2,12.1,3.1
2024,부산광역시 영도구,125.4,34.3,170.6,44.8,175.1,46.5,94.1,26.0
2024,부산광역시 중구,6.2,1.5,66.0,17.9,292.5,81.1,4.5,1.1
2024,부산광역시 해운대구,139.3,35.8,738.2,202.4,948.0,269.5,68.9,18.3
2024,서울특별시 강남구,290.0,65.3,1104.0,328.5,3438.5,945.9,11.1,2.8
2024,서울특별시 강동구,165.0,43.8,759.8,216.2,786.5,216.1,18.6,4.7
2024,서울특별시 강북구,49.7,12.8,433.8,120.5,424.9,114.8,28.8,7.2
2024,서울특별시 강서구,346.5,87.8,898.1,253.9,1591.8,435.5,48.9,13.1
2024,서울특별시 관악구,35.2,9.1,722.0,206.0,783.4,214.4,17.7,4.5
2024,서울특별시 광진구,356.2,97.2,536.4,156.2,650.0,181.5,26.3,6.7
2024,서울특별시 구로구,312.9,80.4,659.6,186.4,919.0,245.2,83.6,21.3
2024,서울특별시 금천구,204.6,54.8,376.7,107.3,1149.4,319.2,193.1,51.8
2024,서울특별시 노원구,68.4,18.0,718.7,201.6,637.0,173.1,28.8,7.7
2024,서울특별시 도봉구,50.6,13.1,463.7,131.0,366.3,98.8,37.8,9.8
2024,서울특별시 동대문구,160.8,42.6,604.0,169.2,660.0,178.2,62.6,16.3
2024,서울특별시 동작구,57.9,15.5,585.9,166.7,584.0,162.3,11.9,3.4
2024,서울특별시 마포구,162.2,51.5,658.9,192.1,1432.9,389.7,17.0,4.5
2024,서울특별시 서대문구,31.9,8.3,504.8,146.7,607.9,170.1,13.5,3.6
2024,서울특별시 서초구,423.5,112.7,785.5,229.1,2113.2,576.1,6.7,1.7
2024,서울특별시 성동구,878.3,231.4,483.8,134.8,807.6,220.9,193.1,51.0
2024,서울특별시 성북구,97.9,26.6,678.0,186.8,564.2,152.1,39.6,10.3
2024,서울특별시 송파구,213.6,56.3,1062.2,299.7,1661.4,465.2,27.9,7.2
2024,서울특별시 양천구,41.5,10.3,692.2,193.5,978.4,257.6,14.4,3.5
2024,서울특별시 영등포구,216.9,57.8,698.9,202.2,1856.9,523.1,93.2,25.0
2024,서울특별시 용산구,100.2,25.9,447.2,130.7,1023.4,283.2,13.7,3.6
2024,서울특별시 은평구,201.8,53.3,732.7,207.5,572.2,154.3,12.3,3.1
2024,서울특별시 종로구,67.0,17.4,283.6,81.5,1257.1,350.0,60.0,15.6
